idTipoEstablecimiento;anio;trimestre;poblacion;vihR_reactivas;vihR_noreactivas;vihC_positivas;vihC_negativas;siR_reactivas;siR_noreactivas;siC_positivas;siC_negativas
53;2017;1;MTS;0;48;NULL;NULL;0;48;NULL;NULL
48;2017;1;HSH;10;30;NULL;NULL;20;40;NULL;NULL
24;2017;2;PV;9;1929;NULL;NULL;0;1929;NULL;NULL
49;2017;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
7;2017;1;HSH;1;0;NULL;NULL;0;0;NULL;NULL
51;2017;1;MTS;0;10;NULL;NULL;0;10;NULL;NULL
13;2017;1;HSH;2;0;NULL;NULL;0;0;NULL;NULL
13;2016;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
13;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
30;2016;4;TRANS;0;4;NULL;NULL;0;4;NULL;NULL
30;2017;1;TRANS;0;2;NULL;NULL;0;2;NULL;NULL
7;2017;1;TRANS;0;1;NULL;NULL;0;0;NULL;NULL
41;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
38;2017;1;MTS;0;31;NULL;NULL;0;26;NULL;NULL
54;2017;2;MTS;0;46;NULL;NULL;0;39;NULL;NULL
9;2016;4;MTS;0;0;NULL;NULL;0;0;NULL;NULL
9;2017;1;MTS;0;0;NULL;NULL;0;0;NULL;NULL
9;2017;2;MTS;1;4;NULL;NULL;0;0;NULL;NULL
10;2017;2;MTS;1;173;NULL;NULL;0;0;NULL;NULL
47;2017;1;MTS;0;27;NULL;NULL;0;27;NULL;NULL
47;2017;2;MTS;1;53;NULL;NULL;2;28;NULL;NULL
10;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
33;2017;2;TRANS;1;14;NULL;NULL;0;0;NULL;NULL
55;2017;2;TRANS;0;1;NULL;NULL;0;0;NULL;NULL
10;2017;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
20;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
29;2017;2;PV;11;195;NULL;NULL;0;0;NULL;NULL
54;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
25;2017;1;PV;24;381;NULL;NULL;3;381;NULL;NULL
25;2017;2;PV;43;672;NULL;NULL;2;672;NULL;NULL
31;2016;4;MTS;1;153;NULL;NULL;1;153;NULL;NULL
31;2017;1;MTS;0;111;NULL;NULL;0;445;NULL;NULL
13;2017;1;MTS;0;0;NULL;NULL;0;0;NULL;NULL
13;2017;1;MTS;1;168;NULL;NULL;0;16;NULL;NULL
13;2017;2;MTS;0;0;NULL;NULL;0;0;NULL;NULL
57;2017;1;MTS;0;50;NULL;NULL;0;0;NULL;NULL
48;2017;1;MTS;0;0;NULL;NULL;0;0;NULL;NULL
48;2017;2;MTS;0;0;NULL;NULL;0;0;NULL;NULL
48;2017;2;MTS;0;0;NULL;NULL;0;0;NULL;NULL
48;2017;2;MTS;0;0;NULL;NULL;0;0;NULL;NULL
20;2017;2;PV;26;1313;NULL;NULL;0;1313;NULL;NULL
30;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
7;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
16;2017;1;PV;157;6314;NULL;NULL;17;3382;NULL;NULL
16;2017;2;PV;141;6726;NULL;NULL;178;5853;NULL;NULL
23;2017;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
56;2017;2;TRANS;0;6;NULL;NULL;0;6;NULL;NULL
16;2017;1;TRANS;157;6314;NULL;NULL;17;3382;NULL;NULL
